Time,BNO055_AX,BNO055_AY,BNO055_AZ
2015-06-12 14:12:18.198970,304,876,468
2015-06-12 14:12:18.298419,296,896,512
2015-06-12 14:12:18.397868,292,880,536
2015-06-12 14:12:18.497317,288,876,512
2015-06-12 14:12:18.596766,276,880,508
2015-06-12 14:12:18.696215,276,852,544
2015-06-12 14:12:18.795664,280,836,556
2015-06-12 14:12:18.895113,260,868,528
2015-06-12 14:12:18.994562,244,892,544
2015-06-12 14:12:19.094011,244,896,564
2015-06-12 14:12:19.193460,248,884,496
2015-06-12 14:12:19.292909,252,896,516
2015-06-12 14:12:19.392358,240,860,552
2015-06-12 14:12:19.491807,256,856,544
2015-06-12 14:12:19.591256,252,892,500
2015-06-12 14:12:19.690705,244,892,524
2015-06-12 14:12:19.790154,248,892,560
2015-06-12 14:12:19.889603,240,872,520
2015-06-12 14:12:19.989052,244,896,504
2015-06-12 14:12:20.088501,236,876,564
2015-06-12 14:12:20.187950,248,848,560
2015-06-12 14:12:20.287399,232,888,524
2015-06-12 14:12:20.386848,216,900,536
2015-06-12 14:12:20.486297,232,892,564
2015-06-12 14:12:20.585746,236,868,508
2015-06-12 14:12:20.685195,248,896,532
2015-06-12 14:12:20.784644,232,864,560
2015-06-12 14:12:20.884093,244,844,560
2015-06-12 14:12:20.983542,244,884,512
2015-06-12 14:12:21.082991,232,892,552
2015-06-12 14:12:21.182440,228,900,572
2015-06-12 14:12:21.281889,232,880,520
2015-06-12 14:12:21.381338,228,908,544
2015-06-12 14:12:21.480787,220,868,584
2015-06-12 14:12:21.580236,236,844,572
2015-06-12 14:12:21.679685,232,872,556
2015-06-12 14:12:21.779134,216,888,540
2015-06-12 14:12:21.878583,216,892,560
2015-06-12 14:12:21.978032,220,860,524
2015-06-12 14:12:22.077481,232,892,544
2015-06-12 14:12:22.176930,224,864,564
2015-06-12 14:12:22.276379,228,844,572
2015-06-12 14:12:22.375828,208,880,564
2015-06-12 14:12:22.475277,172,896,572
2015-06-12 14:12:22.574726,172,900,600
2015-06-12 14:12:22.674175,168,868,544
2015-06-12 14:12:22.773624,180,896,564
2015-06-12 14:12:22.873073,172,868,576
2015-06-12 14:12:22.972522,196,844,564
2015-06-12 14:12:23.071971,184,880,544
2015-06-12 14:12:23.171420,164,896,564
2015-06-12 14:12:23.270869,164,888,596
2015-06-12 14:12:23.370318,172,868,544
2015-06-12 14:12:23.469767,168,896,540
2015-06-12 14:12:23.569216,160,856,596
2015-06-12 14:12:23.668665,164,888,540
2015-06-12 14:12:23.768114,164,884,540
2015-06-12 14:12:23.867563,156,884,564
2015-06-12 14:12:23.967012,164,876,584
2015-06-12 14:12:24.066461,168,892,552
2015-06-12 14:12:24.165910,188,880,552
2015-06-12 14:12:24.265359,168,868,588
2015-06-12 14:12:24.364808,176,852,596
2015-06-12 14:12:24.464257,176,888,544
2015-06-12 14:12:24.563706,152,896,576
2015-06-12 14:12:24.663155,164,880,564
2015-06-12 14:12:24.762604,160,860,568
2015-06-12 14:12:24.862053,152,880,572
2015-06-12 14:12:24.961502,132,900,568
2015-06-12 14:12:25.060951,144,848,608
2015-06-12 14:12:25.160400,156,844,596
2015-06-12 14:12:25.259849,160,860,536
2015-06-12 14:12:25.359298,160,884,568
2015-06-12 14:12:25.458747,168,872,572
2015-06-12 14:12:25.558196,156,868,556
2015-06-12 14:12:25.657645,144,900,556
2015-06-12 14:12:25.757094,160,844,604
2015-06-12 14:12:25.856543,176,816,584
2015-06-12 14:12:25.955992,180,852,532
2015-06-12 14:12:26.055441,172,908,544
2015-06-12 14:12:26.154890,220,888,544
2015-06-12 14:12:26.254339,260,868,488
2015-06-12 14:12:26.353788,236,876,544
2015-06-12 14:12:26.453237,216,880,532
2015-06-12 14:12:26.552686,224,852,544
2015-06-12 14:12:26.652135,232,852,564
2015-06-12 14:12:26.751584,216,872,568
2015-06-12 14:12:26.851033,224,864,576
